@RELATION svmforemotions
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE class {Happy,Boredom,Disgust,Fear,Neutral,Sad,Anger}

@DATA
0.011067,2.712194,-27.932710,1.502501,-0.136683,-0.232203,-0.182921,-0.028010,-0.183783,-0.117437,-0.196057,-0.236653,-0.340854,-0.022719,-0.090152,0.014894,0.568383,4.384849,1.081280,1.259796,0.580198,0.532975,0.345418,0.366353,0.340142,0.371621,0.390823,0.397465,0.329272,0.386368,Happy
0.007478,2.716917,-28.370475,1.643189,0.570047,-0.014275,-0.181941,0.069082,-0.285189,0.031187,-0.054395,-0.021490,-0.084866,0.098724,-0.089471,0.010368,0.620439,3.892269,1.524316,0.749608,0.516600,0.433628,0.323342,0.469195,0.282021,0.296488,0.334425,0.260676,0.313534,0.251166,Happy
0.015800,2.615574,-28.245415,1.670651,-0.183506,0.254870,0.055578,0.003953,-0.079001,0.023804,0.064207,0.071210,-0.170766,0.159413,-0.003568,0.017115,0.551285,4.568943,0.965549,1.006921,0.427504,0.394143,0.345880,0.361435,0.261881,0.224460,0.334613,0.276284,0.262791,0.264539,Happy
0.010563,2.688223,-27.674867,1.890190,-0.027260,0.189684,-0.073978,-0.036115,0.040545,-0.013271,0.002252,0.040058,-0.210962,-0.022080,-0.132659,0.014351,0.517651,3.445729,1.178360,1.009393,0.525284,0.477048,0.401349,0.438351,0.342872,0.260122,0.277402,0.296858,0.258435,0.245921,Happy
0.008167,2.776443,-28.420299,1.947563,0.601380,0.074280,-0.110609,0.065658,-0.025930,0.150781,-0.043660,0.156665,-0.076538,0.124220,-0.026013,0.011511,0.464900,4.568897,0.982767,0.924635,0.530777,0.472331,0.391342,0.375557,0.322076,0.251678,0.239152,0.225630,0.225138,0.223428,Happy
0.006489,2.705552,-28.524251,1.381272,0.125673,-0.276027,0.017816,-0.225985,0.280396,-0.152057,0.009575,0.059287,-0.062481,0.145705,-0.148196,0.009070,0.508121,4.535504,1.287952,1.084524,0.597114,0.523071,0.417828,0.406109,0.337270,0.302059,0.292955,0.261901,0.211188,0.236556,Happy
0.007985,2.741247,-29.856765,1.955895,0.002165,-0.181783,0.020002,-0.118536,0.256731,-0.014932,-0.068092,0.101533,-0.100529,0.130590,-0.019531,0.009014,0.477333,2.500240,1.095397,0.877926,0.534728,0.447110,0.371443,0.427789,0.310216,0.209598,0.269805,0.214604,0.220842,0.222061,Happy
0.020890,2.607593,-27.772736,0.793045,-0.568860,-0.286234,-0.445597,-0.226814,-0.069960,-0.133458,-0.026872,0.210214,-0.001780,0.010751,-0.153219,0.034430,0.795829,4.437603,1.367940,1.141867,0.636737,0.475627,0.475834,0.480808,0.557791,0.393393,0.410862,0.459387,0.377963,0.399733,Happy
0.010509,2.733644,-29.729799,2.189962,0.180469,-0.093783,-0.586103,-0.492565,-0.088922,-0.172544,-0.287784,0.036548,-0.097540,-0.036420,-0.105376,0.015626,0.433228,2.682972,0.871389,0.551952,0.491758,0.317907,0.275111,0.279140,0.374634,0.325849,0.286000,0.338969,0.254618,0.176546,Happy
0.021415,2.795574,-27.506490,1.460251,-0.529295,-0.241460,-0.451502,-0.325770,-0.139427,-0.348894,-0.236855,-0.089427,-0.026794,0.252380,0.015027,0.033397,0.506030,3.277492,1.362052,1.090372,0.825575,0.378211,0.589899,0.468250,0.497282,0.548619,0.450208,0.404004,0.496481,0.337393,Happy
0.014942,2.813411,-28.122536,1.624054,-0.127064,-0.551756,-0.306798,-0.520450,-0.309741,-0.339912,-0.109549,0.114826,0.201598,0.240145,-0.078987,0.022704,0.576211,3.622641,1.311523,0.999858,0.606506,0.466014,0.390536,0.348084,0.441447,0.550870,0.319026,0.431060,0.400046,0.251380,Happy
0.027031,2.831693,-27.057689,1.815852,0.169117,-0.512866,-0.435146,-0.184538,-0.164132,0.075996,-0.095127,0.111178,-0.062675,0.071187,-0.097173,0.036256,0.519370,3.293137,1.305434,0.683659,0.553996,0.302133,0.354634,0.435434,0.462214,0.345288,0.382085,0.388230,0.310485,0.285408,Happy
0.012821,2.848995,-27.904928,1.971427,-0.070613,0.029836,-0.143578,-0.147720,0.067451,-0.109035,-0.023790,-0.026167,-0.138040,0.017295,-0.319064,0.018350,0.519807,3.746006,1.141858,0.740497,0.563753,0.467083,0.381560,0.367996,0.391231,0.316426,0.367124,0.386917,0.352590,0.315707,Happy
0.010320,2.832702,-27.754698,1.458734,-0.409501,-0.200956,-0.458027,-0.384533,-0.226564,-0.322529,0.029998,0.063556,0.192837,0.069333,-0.062077,0.011936,0.493505,3.649768,1.015419,0.864388,0.640296,0.479883,0.418236,0.400540,0.437331,0.532203,0.426631,0.479931,0.409430,0.292320,Happy
0.012962,2.849849,-27.114416,1.776775,0.044920,-0.510315,-0.392120,-0.298606,-0.145680,-0.123379,-0.182915,-0.162554,-0.176654,-0.030380,-0.058497,0.014326,0.421527,3.355951,1.241659,0.888267,0.604445,0.411780,0.484447,0.425653,0.458758,0.453149,0.460554,0.459885,0.380321,0.337359,Happy
0.024869,2.813991,-26.212604,2.151152,0.167226,-0.309490,-0.246285,-0.187607,-0.083743,-0.193127,-0.291316,-0.256788,-0.167559,0.049469,0.009141,0.022675,0.637254,3.353757,1.062365,0.784839,0.676363,0.353208,0.389988,0.298336,0.392844,0.346653,0.398419,0.464175,0.422605,0.437879,Happy
0.011382,2.931993,-28.427399,2.161111,0.058249,-0.067464,-0.195246,-0.274717,-0.213538,-0.202298,-0.043324,0.153564,0.200006,0.065714,-0.162254,0.013849,0.289675,2.810636,0.836561,0.785901,0.376158,0.364096,0.326829,0.321684,0.315669,0.331757,0.300404,0.382586,0.264165,0.216433,Happy
0.019932,2.703979,-27.440809,1.514767,0.008340,-0.191567,-0.271264,-0.317540,-0.145824,-0.262347,-0.248976,-0.030229,-0.014473,0.192460,-0.057148,0.021880,0.759865,4.530385,1.391218,1.125285,0.768506,0.395239,0.402828,0.378918,0.406427,0.384170,0.473558,0.436913,0.455464,0.285902,Happy
0.009443,2.634884,-29.410153,1.187343,-0.112239,-0.327873,-0.341338,-0.246830,-0.153987,-0.094671,-0.150073,-0.057615,0.094033,0.173820,0.124903,0.012852,0.499184,3.978745,1.311155,0.876631,0.566764,0.435307,0.430929,0.341517,0.366368,0.332362,0.351441,0.384702,0.353949,0.270649,Happy
0.006765,2.645903,-31.374575,1.320451,-0.022696,-0.205882,-0.117696,-0.103864,-0.138875,-0.101545,-0.221884,-0.178611,-0.056038,0.124570,0.010649,0.012157,0.547579,3.623926,1.008297,0.814585,0.478520,0.405881,0.391302,0.266544,0.389522,0.323019,0.320987,0.401926,0.360291,0.315009,Happy
0.006371,2.683218,-32.640617,1.718913,-0.141216,0.031185,-0.214230,-0.216312,0.028979,-0.082949,0.166921,-0.029950,-0.216528,0.027684,0.036638,0.009746,0.438120,2.494228,0.905409,0.666250,0.304742,0.375199,0.338260,0.360957,0.196016,0.296250,0.289684,0.250085,0.271830,0.238627,Happy
0.005951,2.805346,-29.698073,1.641233,0.472690,-0.327867,-0.368875,-0.117658,-0.152136,-0.069770,-0.249564,-0.181113,-0.050537,0.063750,-0.099458,0.008609,0.540525,3.700220,1.273868,0.589456,0.531959,0.471238,0.361312,0.363485,0.310657,0.354202,0.333739,0.452533,0.403959,0.406113,Happy
0.007411,2.702955,-29.562122,1.492186,0.339712,-0.516704,-0.595080,-0.207181,-0.262558,-0.006751,-0.121017,-0.144763,-0.098440,0.014284,0.019984,0.011079,0.520133,4.101274,1.427695,0.550311,0.662436,0.503553,0.252898,0.401649,0.415029,0.539577,0.388693,0.493702,0.359641,0.373066,Happy
0.009217,2.729545,-27.846392,1.078792,-0.403337,-0.186803,-0.461533,-0.423665,-0.145293,-0.154904,0.034910,-0.063566,-0.021377,-0.030416,-0.048062,0.013388,0.523933,4.202265,1.204227,0.993292,0.757132,0.483714,0.529620,0.393800,0.547841,0.448344,0.465803,0.436157,0.336217,0.428474,Happy
0.004994,2.671242,-29.141174,1.631230,0.328339,-0.506348,-0.457097,-0.229921,-0.013801,0.004097,-0.191685,-0.196259,-0.304069,-0.051974,-0.197575,0.009751,0.533172,3.661607,0.996208,0.690899,0.657527,0.447609,0.377427,0.309399,0.410614,0.284028,0.360118,0.319636,0.346474,0.328480,Happy
0.007107,2.774258,-28.788919,0.890079,-0.187103,0.095825,-0.254980,0.020838,0.200186,-0.092420,-0.059736,0.161195,-0.239790,0.130540,-0.152941,0.008574,0.478218,4.768503,1.396348,1.044532,0.580515,0.480128,0.393634,0.346561,0.325964,0.350134,0.315231,0.326865,0.286353,0.328643,Happy
0.014563,2.916886,-27.095950,1.273736,0.140471,0.118757,-0.229456,-0.047564,-0.209982,-0.145234,-0.316277,0.006316,-0.190631,0.291785,-0.141455,0.017303,0.323611,4.282607,1.069808,1.131139,0.542566,0.588815,0.380216,0.359716,0.502960,0.309477,0.474839,0.344410,0.386451,0.249187,Happy
0.010883,2.726331,-27.656631,1.462953,0.221815,-0.214155,-0.568172,-0.112348,-0.037135,-0.179799,-0.224437,-0.033842,-0.305888,0.098041,-0.150629,0.015575,0.550346,3.448897,1.177490,1.138923,0.427145,0.525073,0.381038,0.436287,0.308242,0.412712,0.365159,0.410757,0.275169,0.278200,Happy
0.016222,2.759459,-27.684846,1.142885,0.263908,-0.203799,-0.461431,-0.068331,-0.059352,-0.124947,-0.453258,-0.182150,-0.347273,0.276831,0.015587,0.025310,0.613590,4.672773,1.155915,1.150910,0.475027,0.482117,0.472635,0.477475,0.415306,0.423538,0.364714,0.424528,0.396453,0.385674,Happy
0.006973,2.834733,-27.997329,1.578377,0.405018,-0.054639,-0.393888,-0.215738,-0.125941,-0.080007,-0.245436,0.054580,-0.249282,0.124926,-0.089253,0.009720,0.516680,3.722048,1.256295,1.084828,0.459143,0.506073,0.447518,0.378191,0.371001,0.465908,0.434921,0.456053,0.342838,0.353402,Happy
0.005260,2.758187,-29.197401,1.516855,0.643343,-0.092953,-0.343299,-0.001534,-0.094641,0.036935,-0.133593,0.000321,-0.206333,0.136656,-0.155396,0.007414,0.442091,4.096272,0.899054,1.016261,0.527663,0.464345,0.345531,0.347567,0.307780,0.332784,0.282432,0.295137,0.314744,0.274991,Happy
0.007592,2.604516,-29.126257,-0.006061,-0.141798,-0.543248,-0.494963,-0.222483,-0.242303,0.163382,-0.147589,0.310306,0.023792,-0.089958,-0.005131,0.009556,0.296137,2.260419,0.903484,0.635955,0.610391,0.280223,0.374805,0.299020,0.333727,0.310907,0.251324,0.314406,0.303528,0.219445,Happy
0.014857,2.906572,-28.600208,0.217493,-0.152775,-0.275277,-0.246856,-0.425236,-0.454475,-0.058600,0.056759,0.141898,0.016137,0.031623,-0.177058,0.019344,0.392914,3.793861,1.620138,0.936342,0.785040,0.406216,0.478744,0.500613,0.520193,0.367252,0.436510,0.462420,0.353737,0.334561,Happy
0.007376,2.795296,-28.702381,0.409103,0.175099,-0.699195,-0.365902,-0.255037,-0.393983,-0.075164,-0.169829,-0.080030,0.111797,0.093294,0.013786,0.010920,0.467726,3.429678,1.425825,0.867804,0.568768,0.465588,0.345922,0.365613,0.390383,0.489978,0.443322,0.456419,0.415995,0.298979,Happy
0.010228,2.914066,-28.433677,0.740186,0.124690,-0.568676,-0.346855,-0.142927,-0.148980,-0.101407,0.160039,-0.000534,-0.085322,0.063134,-0.174804,0.016453,0.462516,3.892607,1.475758,0.903390,0.588619,0.399218,0.368343,0.367934,0.397161,0.521615,0.414943,0.410312,0.353821,0.327088,Happy
0.004592,2.930646,-30.587447,0.677594,0.226019,-0.645110,-0.435580,-0.277030,-0.113690,0.046691,0.167837,0.001035,-0.125764,0.036613,-0.189471,0.006744,0.463277,3.744183,1.374034,0.675298,0.695178,0.433771,0.392185,0.476586,0.501836,0.505064,0.518075,0.507658,0.287860,0.295071,Happy
0.002260,2.809672,-30.293978,0.654868,0.292473,-0.745754,-0.436867,-0.159622,-0.324775,0.131667,0.096452,0.166523,-0.051636,-0.034810,-0.099690,0.003746,0.512884,3.725117,1.271276,0.563682,0.637291,0.490496,0.377910,0.500419,0.484238,0.439030,0.420398,0.419350,0.387843,0.308576,Happy
0.007902,2.850359,-27.774979,0.448619,-0.106014,-0.288702,-0.195649,-0.361994,-0.093928,-0.186009,-0.046922,-0.076704,-0.103742,0.137877,-0.066953,0.010732,0.532559,3.280792,1.119116,0.864331,0.661363,0.480135,0.468021,0.393310,0.432171,0.466743,0.390318,0.364851,0.415067,0.324982,Happy
0.005706,2.932173,-29.627585,0.455156,-0.129265,-0.169238,-0.246543,-0.388424,-0.214470,-0.251757,-0.049273,0.060029,-0.048731,0.017614,-0.137762,0.007120,0.448616,3.583210,1.167695,0.753120,0.744646,0.442540,0.349399,0.460044,0.398986,0.464731,0.427646,0.501841,0.414643,0.312921,Happy
0.007783,2.911274,-29.289646,0.682872,-0.188104,-0.107376,-0.262444,-0.399154,-0.073133,-0.317671,-0.170553,-0.038510,-0.101777,0.030300,-0.107703,0.009628,0.435401,3.299291,1.241344,0.920309,0.682848,0.447762,0.408861,0.394434,0.362647,0.472197,0.446240,0.415920,0.348462,0.411268,Happy
0.004950,2.891527,-30.679180,0.839968,0.370054,-0.478428,-0.187700,-0.162440,-0.273218,-0.207884,-0.227920,0.069465,0.019487,0.114091,-0.161770,0.009670,0.484704,4.604332,1.375875,0.671645,0.732202,0.401710,0.392190,0.380997,0.309940,0.425504,0.427450,0.431470,0.376362,0.302024,Happy
0.006296,2.875339,-28.946034,0.420943,0.203168,-0.666862,-0.411587,-0.311288,-0.251485,0.163478,0.100794,-0.033136,-0.182712,-0.003615,0.007721,0.009145,0.485430,3.283757,1.251356,0.686155,0.728035,0.532854,0.446510,0.408446,0.549538,0.494422,0.481909,0.537564,0.447392,0.347646,Happy
0.014344,2.757005,-27.207819,2.604243,-0.059749,0.083958,-0.202808,0.112055,0.215716,-0.040574,0.050942,0.131095,0.062958,0.052509,0.013889,0.020246,0.460530,3.570387,0.872021,1.047608,0.435870,0.477265,0.274934,0.293327,0.307336,0.284277,0.257800,0.259634,0.183755,0.158773,Boredom
0.019240,2.873153,-26.959178,2.627257,0.526299,0.161057,-0.130814,-0.007172,0.185219,-0.119927,0.156868,0.188072,-0.025675,0.199336,-0.017744,0.016688,0.305459,3.295882,1.092185,0.603730,0.468657,0.312814,0.439695,0.241562,0.244731,0.211308,0.240020,0.189877,0.156149,0.180317,Boredom
0.013570,2.705882,-27.313063,2.289283,0.709501,-0.157984,-0.342235,0.190514,0.076770,0.022398,0.216664,0.099393,-0.023457,0.146023,-0.114095,0.014070,0.494879,2.871060,1.323628,0.769506,0.500963,0.469630,0.276720,0.404686,0.235885,0.288425,0.240129,0.239249,0.225880,0.189405,Boredom
0.009215,2.626281,-27.740570,2.671069,0.000084,0.045433,-0.104438,0.101858,0.287500,-0.062831,0.122411,0.166408,-0.007716,0.078239,0.003010,0.010221,0.483589,2.925234,1.102268,0.719576,0.420594,0.437553,0.267660,0.331227,0.221073,0.299746,0.200792,0.192660,0.153918,0.166879,Boredom
0.012024,2.668990,-29.004573,2.472794,0.388492,0.289004,-0.428171,0.025509,0.114602,0.064524,0.151547,0.185287,0.055269,0.051342,0.054466,0.013231,0.437765,2.717635,0.797406,0.589991,0.377813,0.395028,0.257046,0.395139,0.252661,0.275188,0.168317,0.251527,0.165281,0.159253,Boredom
0.017229,2.912532,-28.402684,2.331363,-0.113152,0.284758,-0.225327,0.008375,0.020687,-0.235694,-0.149200,-0.125879,-0.204750,0.045014,-0.101624,0.022799,0.414388,4.453415,1.175124,0.853089,0.464454,0.441276,0.335004,0.392243,0.326834,0.332172,0.319227,0.257290,0.263920,0.406161,Boredom
